tid,chembl_id
10899,CHEMBL3861
10900,CHEMBL3023
10901,CHEMBL2598
10903,CHEMBL3863
10904,CHEMBL1906
10906,CHEMBL2599
10907,CHEMBL3024
10908,CHEMBL2957
10909,CHEMBL4796
10910,CHEMBL4873
10911,CHEMBL4617
10912,CHEMBL4874
10913,CHEMBL4875
10914,CHEMBL2958
10917,CHEMBL2979
10918,CHEMBL2959
10919,CHEMBL2835
10920,CHEMBL2968
10925,CHEMBL5100
10926,CHEMBL2552
10927,CHEMBL3764
10928,CHEMBL4921
10929,CHEMBL2553
10930,CHEMBL3766
10931,CHEMBL3311
10932,CHEMBL2554
10938,CHEMBL2971
10939,CHEMBL4924
10940,CHEMBL2972
10941,CHEMBL4925
10942,CHEMBL4926
10945,CHEMBL5103
10946,CHEMBL2532
10948,CHEMBL2125
10949,CHEMBL2126
10950,CHEMBL3892
10951,CHEMBL2455
10952,CHEMBL4790
10954,CHEMBL2127
10955,CHEMBL4656
10956,CHEMBL2456
10957,CHEMBL2457
10958,CHEMBL2128
10959,CHEMBL2129
10960,CHEMBL2458
10961,CHEMBL2459
10962,CHEMBL2460
10963,CHEMBL4935
10964,CHEMBL2461
10965,CHEMBL2462
10967,CHEMBL4937
10970,CHEMBL2493
10971,CHEMBL2494
10972,CHEMBL3312
10973,CHEMBL3042
10975,CHEMBL2606
10977,CHEMBL2608
10978,CHEMBL2249
10979,CHEMBL1868
10980,CHEMBL279
10981,CHEMBL4554
10982,CHEMBL4429
10983,CHEMBL3154
10984,CHEMBL2609
10985,CHEMBL3636
10986,CHEMBL2610
10989,CHEMBL2186
10991,CHEMBL3780
10992,CHEMBL4305
10993,CHEMBL2656
10994,CHEMBL2657
10995,CHEMBL2697
10997,CHEMBL2799
10999,CHEMBL2699
11000,CHEMBL2188
11002,CHEMBL2744
11003,CHEMBL4644
11004,CHEMBL4774
11005,CHEMBL2700
11006,CHEMBL4608
11007,CHEMBL2701
11009,CHEMBL4271
11010,CHEMBL3507
11013,CHEMBL2849
11016,CHEMBL3969
11017,CHEMBL2850
11018,CHEMBL2896
11019,CHEMBL4273
11020,CHEMBL4274
11024,CHEMBL280
11027,CHEMBL2195
11028,CHEMBL2836
11029,CHEMBL2196
11031,CHEMBL3467
11033,CHEMBL2838
11034,CHEMBL2198
11035,CHEMBL281
11036,CHEMBL2851
11037,CHEMBL3568
11038,CHEMBL4719
11039,CHEMBL3464
11042,CHEMBL4789
11043,CHEMBL2963
11044,CHEMBL2200
11045,CHEMBL2723
11046,CHEMBL2964
11047,CHEMBL2897
11048,CHEMBL2201
11049,CHEMBL4125
11053,CHEMBL2202
11054,CHEMBL2736
11055,CHEMBL4573
11056,CHEMBL3842
11058,CHEMBL2718
11060,CHEMBL2326
11061,CHEMBL2203
11063,CHEMBL3510
11064,CHEMBL2204
11065,CHEMBL2719
11066,CHEMBL2205
11067,CHEMBL3147
11068,CHEMBL3240
11071,CHEMBL4076
11074,CHEMBL2206
11076,CHEMBL3794
11077,CHEMBL2737
11080,CHEMBL2207
11081,CHEMBL2939
11082,CHEMBL2208
11084,CHEMBL1945
11085,CHEMBL1946
11086,CHEMBL3196
11087,CHEMBL3069
11088,CHEMBL3070
11089,CHEMBL2226
11090,CHEMBL3131
11092,CHEMBL4081
11094,CHEMBL4028
11095,CHEMBL3132
11096,CHEMBL2781
11097,CHEMBL2577
11098,CHEMBL3133
11099,CHEMBL2227
11102,CHEMBL3093
11104,CHEMBL3071
11105,CHEMBL3094
11107,CHEMBL3813
11108,CHEMBL3095
11109,CHEMBL283
11110,CHEMBL4588
11111,CHEMBL3331
11112,CHEMBL4321
11113,CHEMBL2231
11114,CHEMBL2009
11115,CHEMBL3814
11117,CHEMBL4556
11118,CHEMBL5208
11119,CHEMBL4653
11120,CHEMBL3338
11125,CHEMBL3576
11126,CHEMBL2232
11130,CHEMBL3577
11131,CHEMBL3578
